Brand,Model,Common Issues,Service Tips,Battery Care,Motor/Controller Tips,Tools Needed,Manual/Guide Link
Okinawa,Various (e.g., Praise Pro, Okhi-90),"Battery drain, motor stuttering, brake failures, charging interruptions, water damage in monsoon","Perform 27-point doorstep check: battery level/terminals/swelling, tire pressure/tread, brakes/pads/fluid, suspension, lights/horn, electrical systems, motor housing/wiring, noises/vibrations, wheel alignment, charger/port/cable, chain tension. Service every 500-1000 km (basic), 2000-3000 km (detailed), 6000-8000 km (full). Use genuine parts; include free wash.","Charge in dry area; check for leaks/swelling; replace with genuine; avoid deep discharge; store cool/dry.","Inspect housing/wiring for burns/loose connections; test continuity on phase wires; check hall sensors (0-5V signal); replace if overheated.","Multimeter, insulated tools, torque wrench, tire gauge, lubricant.","https://www.apnamechanic.com/bikes/okinawa/ (service options); General: https://electricscooterparts.com/troubleshootingmotordoesnotruncharged.html"
Ampere,Various (e.g., Magnus EX, Nexus),"Slow charging, battery degradation after 2-3 years, controller overheating, throttle faults, loose wiring","Follow user manual schedules; inspect wiring/connectors; test throttle (0-5V); clean terminals; professional service every 3-6 months.","Use original charger; charge 4-6 hrs; avoid overcharge; store 50-80% charged; test voltage per cell (~4.2V full).","Test phase wires (0.5-1 ohm); check MOSFETs in controller; inspect for burnt smell; replace faulty hall sensors.","Multimeter, insulated gloves, basic toolkit (wrenches, screwdrivers).","https://ampere.greaveselectricmobility.com/downloads (user manuals for models); General: https://electricscooterparts.com/troubleshootingmotordoesnotruncharged.html"
Pure EV,ePluto 7G (and similar),"Low SOC alerts (<25%), temperature alerts, throttle/motor/ECU errors, battery leaks, puncture issues","4 free/6 paid services at dealerships; mandatory battery capacity test via Batrics app at each service; schedule: 1st at 1000-1100 km/30-45 days, up to 10th at 39500-40000 km/1000-1100 days. Use original parts; warranty: battery 36 months/40000 km.","Charge 4 hrs with 67.2V/10A charger; every 30 days if unused; avoid >5 hrs charge; store away from heat/water; BMS protects against overcharge/deep discharge.","Check for jerking (hall sensor failure); test continuity; refer to YouTube for motor repairs.","Multimeter, charger tester, app for diagnostics.","https://www.pureenergy.co.in/assets/user_manual/epluto-7g-powered-by-x.pdf (owner's manual); YouTube troubleshooting videos."
Pure EV,Various (e.g., ETrance Neo, ecuDryft),"Battery degradation, motor stuttering, software glitches, wiring chafing","Inspect at authorized centers; clean grease/dirt; tighten bolts; test electrical system.","Avoid disassembly; use specified charger; rinse if leaked; warranty voids on misuse.","Inspect for water ingress/bearings; test sensors (5V supply).","Insulated tools, multimeter.","General: https://www.pureenergy.co.in/assets/user_manual/epluto-max-X-Platform-4.0.pdf"
Komaki,Various (e.g., Venice, XGT X-One),"Reduced range, unusual motor noises, brake issues, flat tires, wobbling handlebars","Daily visual checks (tires/brakes/lights); weekly tire pressure/cleaning; monthly tighten bolts/lubricate; professional every 3-6 months. Clean with damp cloth/mild soap; dry fully.","Charge after use; avoid full drain; store cool/dry.","Lubricate moving parts; check for noises; consult pro for motor issues.","Tire gauge, wrenches, screwdrivers, lubricant, microfiber cloth.","https://komaki.in/blog/maintenance-of-an-electric-scooter/ (tips); General repair: https://www.youtube.com/watch?v=8X1LmZN401w (hub motor repair example)"
Benling,Various (e.g., Aura, Falcon),"Controller failure, battery drain, overheating, loose connections, brake switch faults","Use process of elimination: check power switch, fuse, wiring; inspect for burns; weekly clean; monthly inspect terminals.","Test voltage; avoid deep discharge; charge regularly.","Test phase wires/resistance; check hall sensors; replace if burnt.","Multimeter, jumper wire, insulated tools.","General: https://electricscooterparts.com/troubleshootingmotordoesnotruncharged.html; https://blog.banggood.com/electric-scooter-repair-guide-69210.html"
Okaya,Various (e.g., Faast F2B, similar to Okai ES400),"IoT/module failures, front fork issues, battery panel stuck, SIM card problems, handlebar damage","Replace components step-by-step: front fork stem, battery panel (manual removal), SIM card, IoT module, handlebar. Use PDFs/videos for guidance.","Inspect for damage; replace if needed; ventilated charging.","Check motor for burns; replace if defective.","Basic toolkit, as per videos/PDFs.","https://support.levyelectric.com/hc/en-us/articles/27503881592724-Okai-ES400A-Repair-Guide (applicable procedures); Videos: https://www.youtube.com/watch?v=ASbH0uZWkNo (IoT replacement)"
Hero Electric,Various (e.g., Optima CX, Photon HX),"Charging issues, display errors, tire punctures, electrical faults","Basic repairs: tire removal for puncture; inspect brakes/suspension; tighten screws; clean build-up; service every 5000 km.","Charge in ventilated area; avoid solvents; declare accidents.","Inspect wiring; test switches/throttle.","Multimeter, torque wrench.","https://www.youtube.com/watch?v=FPfvwobxUC4 (tire puncture guide); General: https://electricscooterparts.com/electricscooterrepairhelp.html"
Revolt,RV400 (and similar),"Battery life reduction, software glitches, brake cable corrosion, wiring issues","Weekly: check tires/brakes; monthly: lubricate; every 5000 km: full inspection at service. Use original charger; park dry.","Maximize life: timely servicing; charge ventilated; avoid drops/punctures.","Inspect for odors/burns; process of elimination for controller.","Multimeter, carbon pile tester.","https://www.revoltmotors.com/blog/ultimate-guide-to-maintaining-your-electric-bike-for-long-life (guide); https://www.scribd.com/document/827086722/Workshop-Service-Manual-RV400-CAN-Edition-01"
Ather,450X (and similar),"Charging issues (slow/intermittent), battery drain, software glitches (touchscreen hang, navigation fail), display blank, Bluetooth disconnect","Weekly: tire pressure/clean; every 5000 km: brakes/suspension/electrical/lights/horn/tighten bolts/clean grease/wiring/safety checks. Restart for glitches; update software; reset dashboard.","Charge to recommended; avoid overcharge/full drain; park dry/shaded; clean without solvents.","Check for overheating; inspect wiring.","Multimeter, app for diagnostics.","https://www.atherenergy.com/blog/maintenance-guide-for-your-electric-scooter (schedule); https://gomechanic.in/blog/ather-scooty-common-problems/ (problems/fixes)"
