Brand,Model,Approx Price (₹ Lakh),Battery (kWh),Range (km/charge),Top Speed (km/h),Motor Power (kW),Charging Time (hrs),Key Features,Load Capacity (kg)
Okinawa,Praise Pro,0.80-0.90,2.0-2.6,80-100,55-60,1.5-2.0,4-6,"Bluetooth, app, reverse",80-100
Okinawa,Ridge+,0.60-0.80,1.75,75-85,45-50,1.2,4-5,"LED lights, digital display",85
Okinawa,iPraise+,0.80-1.00,2.0,85-95,55,1.5,5,"Waterproof battery, geo-fencing",90
Okinawa,Okhi-90,1.20-1.50,3.0-4.0,140-160,80-90,2.5-3.0,4-5,"Fast charge, tubeless tires, touchscreen",100-120
Okinawa,Lite,0.60-0.70,1.25,60-70,25-45,0.8,4,"Portable, lightweight",75
Okinawa,Dual,0.70-0.90,1.5-2.0,70-80,50,1.0-1.5,4-5,"Dual battery option",80-100
Okinawa,R30,0.60-0.70,1.75,80,50,1.2,5,"Regenerative braking",90
Okinawa,Other,N/A,N/A,N/A,N/A,N/A,N/A,Varies,80-100
Ampere,Magnus EX,0.90-1.00,2.3-3.0,95-105,55-60,1.5-2.0,5-6,"Reverse gear, LFP battery",90-100
Ampere,Reo Plus,0.60-0.70,1.6,70-80,50,1.2,4,"Steel body, family-friendly",85
Ampere,Zeal EX,0.70-0.90,2.1,80-100,50-55,1.3,4-5,"Eco mode, lightweight",80
Ampere,Primus,1.00-1.20,3.3,100-107,77,2.5-3.0,5-6,"High speed, 0-40 in 4s, warranty",100
Ampere,Nexus,1.10-1.30,3.0-3.5,120-140,60-90,2.0-3.0,5-6,"Long range, premium, touchscreen",110
Ampere,Other,N/A,N/A,N/A,N/A,N/A,N/A,Varies,90
Pure EV,EPluto 7G,0.80-1.00,2.5-3.0,90-110,60,2.0,4-5,"Swappable battery, app connectivity",90
Pure EV,ETrance Neo,0.70-0.90,2.0,85-100,55,1.5,5,"Neo design, fast accel",85
Pure EV,ETron Plus,0.70-0.90,1.8,80-95,50,1.2,4-5,"Affordable, reliable",80
Pure EV,ecuDryft,1.00-1.20,3.0+,100-150,70-80,2.0-3.0,4-6,"Performance focus, motorcycle-style",100+
Pure EV,Other,N/A,N/A,N/A,N/A,N/A,N/A,Varies,85
Komaki,Venice,0.60-0.80,1.5-2.0,70-80,45-50,1.0-1.5,4-5,"Stylish, compact",75
Komaki,XGT X-One,0.50-0.70,1.2-1.5,60-75,45-50,0.8-1.0,4,"Graphene battery",80
Komaki,SE,0.40-0.60,1.0,50-65,40,0.7,3-4,"Entry-level, lightweight",70
Komaki,DT 3000,0.70-0.90,2.0+,100+,60+,1.5+,5-6,"Durable tires, high range variants",100+
Komaki,XGT KM,0.60-0.80,1.8,80-90,50,1.3,5,"High torque",90
Komaki,Flora,0.50-0.70,1.2,65-75,45,0.9,4,"Women-friendly, low seat",75
Komaki,Cat 2.0,0.60-0.80,1.4-2.0,70-100,45-55,1.0-1.5,4-5,"Petrol-like range",80
Komaki,Other,N/A,N/A,N/A,N/A,N/A,N/A,"Varies (e.g., XR7, TN95)",85
Benling,Aura,0.80-1.00,2.2,90-100,55,1.5,5,"Combined braking, app",90
Benling,Icon,0.70-0.90,2.0,85-95,50,1.3,4-5,"Iconic design",85
Benling,Falcon,0.80-1.00,2.5,95-105,55,1.6,5,"High range",100
Benling,Kriti,0.70-0.90,1.8,80-90,50,1.2,4,"Affordable premium",85
Benling,Other,N/A,N/A,N/A,N/A,N/A,N/A,Varies,90
Okaya,Faast F2B,0.90-1.10,2.5-3.5,120-160,70,2.0,4-5,"Fast charge, high range",110
Okaya,Freedum,0.70-0.80,1.4-2.2,70-120,25-60,0.8-1.5,5-6,"Freedom range, low-speed/high-speed variants",95
Okaya,Classiq,0.70-0.90,2.0,90-110,55,1.3,4-5,"Classic style",90
Okaya,Evok,0.80-1.00,2.5,110-130,60,1.7,5,"Invoke power",100
Okaya,Other,N/A,N/A,N/A,N/A,N/A,N/A,Varies,95
Hero Electric,Optima CX,0.80-1.10,1.5-3.0,80-140,50-55,1.2-2.0,4-6,"Convertible seats, removable battery",85-100
Hero Electric,Photon HX,1.00-1.20,2.0-3.0,90-110,55,1.5,5,"High range variants",90
Hero Electric,Nyx HX,0.80-1.00,1.8-2.5,85-100,50,1.3,4-5,"Sleek night rider",85
Hero Electric,Atria,0.80-1.00,1.5-2.0,85-100,50,1.2,4-5,"Loop frame",80
Hero Electric,Other,N/A,N/A,N/A,N/A,N/A,N/A,Varies,85
Revolt,RV400,1.20-1.50,3.24,120-150,85,3.0-4.0,4-5,"Swappable, AI app, sound options",110
Revolt,RV300,N/A (discontinued?),N/A,N/A,N/A,N/A,N/A,"Lightweight, metro (older model)",95
Revolt,Other,N/A,N/A,N/A,N/A,N/A,N/A,Varies,100
Ather,450X,1.40-1.60,2.9-3.7,110-150,90,6.0,4-6,"Touchscreen, OTA updates, fast charge",120
Ather,450 Plus,1.20-1.40,2.9,100-125,80,3.0-4.0,5,"Plus features",110
Ather,Rizta,1.10-1.50,2.9-3.7,120-160,80,4.3-5.0,4-6,"Family scooter, large boot, SkidChat",130
Ather,Other,N/A,N/A,N/A,N/A,N/A,N/A,Varies,120
Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,"Varies by model",90
