Brand,Model,Battery,Motor,Controller,Charger,Front Suspension,Rear Suspension,Front Brake,Rear Brake,Front Tire,Rear Tire,Wheel Type/Size,Display Type,Lights,Frame Type,Top Speed (km/h),Range (km),Weight (kg),Load Capacity (kg),Other Key Components/Specs
Okinawa,Praise Pro,"Li-ion, 2.0-2.6 kWh, 72V","BLDC hub, 1.5-2.0 kW, 30-40 Nm","30-40A sine wave, regenerative braking","10A, 4-6 hrs","Telescopic fork","Dual shock absorbers","Drum","Drum","90/90-12 tubeless","90/90-12 tubeless","Alloy, 12 inch","Digital LCD","LED headlight/tail/turn","High tensile steel",55-60,80-100,95-100,80-100,"Bluetooth connectivity, app integration, reverse mode, anti-theft alarm, USB port"
Okinawa,Ridge+,"Li-ion, 1.75 kWh, 60V","BLDC hub, 1.2 kW, 25-35 Nm","25-35A, basic","8A, 4-5 hrs","Telescopic","Coil spring","Drum","Drum","90/100-10 tubeless","90/100-10 tubeless","Alloy, 10 inch","Digital","LED","Steel",45-50,75-85,90,85,"Digital display, LED lights, hazard lights, side stand sensor"
Okinawa,iPraise+,"Li-ion, 2.0 kWh, 72V","BLDC hub, 1.5 kW, 30 Nm","30A, geo-fencing support","10A, 5 hrs","Telescopic","Dual shock","Drum","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital with app","LED","Steel",55,85-95,95,90,"Waterproof battery, geo-fencing, app tracking, central locking"
Okinawa,Okhi-90,"Li-ion, 3.0-4.0 kWh, 72V","BLDC hub, 2.5-3.0 kW, 50 Nm","50A, advanced regen","15A fast, 4-5 hrs","Telescopic hydraulic","Twin shock hydraulic","Disc","Drum","90/90-12 tubeless","120/80-12 tubeless","Alloy, 12 inch","Touchscreen","LED DRL","Aluminium alloy",80-90,140-160,110,100-120,"Fast charging, tubeless tires, touchscreen dashboard, OTA updates, navigation"
Okinawa,Lite,"Li-ion, 1.25 kWh, 48V","BLDC hub, 0.8 kW, 20 Nm","20A, basic","6A, 4 hrs","Telescopic","Coil","Drum","Drum","3.00-10","3.00-10","Steel, 10 inch","Analog-digital","Halogen/LED","Steel",25-45,60-70,80,75,"Portable battery, lightweight design, one-touch repair, hazard switch"
Okinawa,Dual,"Li-ion, 1.5-2.0 kWh, 60V","BLDC hub, 1.0-1.5 kW, 25-35 Nm","25-35A, dual battery support","8-10A, 4-5 hrs","Telescopic","Dual shock","Drum","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital","LED","Steel",50,70-80,95,80-100,"Dual battery option, removable batteries, alarm system"
Okinawa,R30,"Li-ion, 1.75 kWh, 60V","BLDC hub, 1.2 kW, 30 Nm","30A, regen","8A, 5 hrs","Telescopic","Coil spring","Drum","Drum","3.00-10","3.00-10","Steel, 10 inch","Digital","LED","Steel",50,80,90,90,"Regenerative braking, E-ABS, micro charger"
Ampere,Magnus EX,"LFP, 2.3-3.0 kWh, 60V","BLDC hub, 1.5-2.0 kW, 40 Nm","40A, regen","10A, 5-6 hrs","Telescopic","Twin shock","Drum","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital cluster","LED","Steel underbone",55-60,95-105,95,90-100,"Reverse gear, LFP battery, detachable battery, HMI display"
Ampere,Reo Plus,"Li-ion, 1.6 kWh, 48V","BLDC hub, 1.2 kW, 25 Nm","25A, basic","8A, 4 hrs","Telescopic","Coil","Drum","Drum","3.00-10","3.00-10","Steel, 10 inch","Digital","Halogen","Steel",50,70-80,85,85,"Steel body, family-friendly seating, USB charging"
Ampere,Zeal EX,"Li-ion, 2.1 kWh, 60V","BLDC hub, 1.3 kW, 30 Nm","30A, eco mode","10A, 4-5 hrs","Telescopic","Twin shock","Drum","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital","LED","Steel",50-55,80-100,90,80,"Eco mode, lightweight frame, detachable battery"
Ampere,Primus,"Li-ion, 3.3 kWh, 72V","BLDC hub, 2.5-3.0 kW, 50 Nm","50A, advanced","15A, 5-6 hrs","Telescopic hydraulic","Mono shock","Disc","Drum","90/90-12","100/80-12","Alloy, 12 inch","Digital with modes","LED","Aluminium",77,100-107,100,100,"High speed, 0-40 in 4s, 5-year warranty, regen braking"
Ampere,Nexus,"Li-ion, 3.0-3.5 kWh, 72V","BLDC hub, 2.0-3.0 kW, 45 Nm","45A, touchscreen integration","12A, 5-6 hrs","Telescopic","Twin shock","Disc","Drum","90/90-12 tubeless","90/90-12 tubeless","Alloy, 12 inch","Touchscreen","LED DRL","Steel alloy",60-90,120-140,105,110,"Long range, premium features, touchscreen, app connectivity"
Pure EV,EPluto 7G,"Li-ion, 2.5-3.0 kWh, 60V","BLDC hub, 2.0 kW, 40 Nm","40A, swappable support","10A, 4-5 hrs","Telescopic","Coil spring","Disc","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital with app","LED","Steel",60,90-110,95,90,"Swappable battery, app connectivity, smart AI BMS"
Pure EV,ETrance Neo,"Li-ion, 2.0 kWh, 60V","BLDC hub, 1.5 kW, 35 Nm","35A, fast accel","10A, 5 hrs","Telescopic","Twin shock","Drum","Drum","3.00-10","3.00-10","Alloy, 10 inch","Digital","LED","Steel",55,85-100,85,85,"Neo design, fast acceleration, regen braking"
Pure EV,ETron Plus,"Li-ion, 1.8 kWh, 48V","BLDC hub, 1.2 kW, 30 Nm","30A, basic","8A, 4-5 hrs","Telescopic","Coil","Drum","Drum","90/100-10","90/100-10","Steel, 10 inch","Analog-digital","Halogen/LED","Steel",50,80-95,80,80,"Affordable, reliable build, portable charger"
Pure EV,ecuDryft,"Li-ion, 3.0+ kWh, 72V","BLDC, 2.0-3.0 kW, 50 Nm","50A, performance mode","15A, 4-6 hrs","Telescopic hydraulic","Mono shock","Disc","Disc","90/90-12","110/80-12","Alloy, 12 inch","Digital","LED","Aluminium frame",70-80,100-150,110,100+,"Performance focus, motorcycle-style, ABS option, digital console"
