Brand,Model,Common Issues,Service Tips,Battery Care,Motor/Controller Tips,Tools Needed,Manual/Guide Link
Okinawa,Praise Pro,"Battery drain, motor stuttering, charging interruptions, water damage","27-point check: battery/terminals/swelling, tires, brakes, suspension, lights, wiring, motor, charger. Service every 500-1000 km basic, 2000-3000 km detailed.","Charge dry area; avoid deep discharge; check swelling/leaks; genuine replacement.","Test phase wires continuity; hall sensors 0-5V; inspect burns/loose.","Multimeter, insulated tools, torque wrench.","https://www.apnamechanic.com/bikes/okinawa/"
Okinawa,Ridge+,"Similar to Praise Pro: slow charge, loose wiring, brake issues","Same as above; focus on LED/digital display checks.","Same lithium care; regular terminal clean.","Same BLDC checks.","Same tools.","General Okinawa guides"
Okinawa,iPraise+,"Geo-fencing/app issues, waterproof battery leaks","Include app reset in service; check seals.","Extra attention to waterproofing; avoid submersion.","Same motor tips.","Same tools.","Okinawa official support"
Okinawa,Okhi-90,"Touchscreen faults, fast charge problems, higher speed vibrations","Check touchscreen connections; alignment at higher speeds.","Higher capacity pack; monitor heat during fast charge.","Higher power motor; check bearings more often.","Same + diagnostic scanner if available.","Okinawa service centers"
Okinawa,Lite,"Low speed issues, portable battery handling damage","Light checks; careful battery removal.","Smaller pack; frequent light use check.","Low power; easier access.","Basic tools.","General"
Okinawa,Dual,"Dual battery sync issues, switching faults","Test both packs individually; sync check.","Balance charge both; avoid one draining faster.","Same.","Same tools.","Okinawa manuals"
Okinawa,R30,"Regen braking weak, range drop","Calibrate regen; brake pad check.","Standard care.","Standard.","Same.","General"
Ampere,Magnus EX,"Controller overheating, reverse gear faults, LFP degradation","Extra cooling check; reverse switch test.","LFP safer but still avoid extreme temps.","MOSFET check critical.","Multimeter essential.","https://ampere.greaveselectricmobility.com/downloads"
Ampere,Reo Plus,"Family use wear: seats, steel body rust","Body clean; rust prevention.","Standard.","Standard.","Same.","Ampere manuals"
Ampere,Zeal EX,"Eco mode glitches, lightweight frame bends","Mode switch test; frame inspection.","Standard.","Standard.","Same.","General Ampere"
Ampere,Primus,"High speed stress, 0-40 accel wear","Bearing/brake wear higher; alignment.","Higher capacity; heat monitor.","Higher power controller.","Same + load tester.","Ampere support"
Ampere,Nexus,"Premium features faults: touchscreen, long range drop","Screen calibration; range test.","Large pack care.","Advanced controller.","Diagnostic tools helpful.","Ampere downloads"
